code	type	likes	comments	views	timestamp	caption	url
DZXLFY6PeMy	video	15	0	0	2026-06-09	Jari boleh setengah, tapi kalo soal bangunan rumah subsidi jangan setengah-setengah.  Kita ready kan 20 unit di Mustika Lembayung Sumbersuko, rumah subsidi rasa komersil.  Info unit & jadwal survei..  ☎️0813-3337-2016	https://www.instagram.com/p/DZXLFY6PeMy/
DZPWFdSP291	video	22	5	0	2026-06-06	NANYA ALAMAT AJA SAMPE 100 RIBU?   Tapi kalo di Mustika Lembayung Sumbersuko, 100 ribu kamu bisa punya rumah. Lengkap dengan ruang tamu, 2 kamar tidur, dapur + kompor tanam, kamar mandi, lantai full granit.    Langsung aja hubungi nomor di bawah ini atau survei lokasinya sekarang juga 👇  ☎️0813-3337	https://www.instagram.com/p/DZPWFdSP291/
DZKcdpSB_hN	video	8	1	0	2026-06-04	Nggak ada yang lebih lega dari ngeliat harapan pelan-pelan jadi kenyataan.  Di Mustika Lembayung Sumbersuko, cukup 100 ribu aja hunian ini bakal jadi tempat pulangmu paling nyaman.  Amankan unit impian kamu sekarang juga. ☎️0813-3337-2016  #syahfalahproperti #ptlembayung #rumahsubsidi  #kpr #perumah	https://www.instagram.com/p/DZKcdpSB_hN/
DZKH8fQTAdV	video	19	2	0	2026-06-04	Sekarang beli rumah nggak perlu khawatir kapan selesainya. Karena sudah kita ready-kan 20 unit di Mustika Lembayung Sumbersuko. siap Huni!✨   Langsung cek rumah impianmu sekarang!  Hubungi nomor dibawah ini. ☎️0813 3337 2016  #Syahfalahproperti #ptlembayung #perumahansubsidilumajang #kpr #perumahan	https://www.instagram.com/p/DZKH8fQTAdV/
DZHzGlLBE_Q	video	13	0	0	2026-06-03	Singkat saja. Langsung ngawasi pembangunan 20 unit READY STOCK rumah subsidi mewah tanpa renovasi, siap huni, terbaik se-Lumajang Raya! Mustika Lembayung Sumbersuko.  Segera hubungi Marketing untuk amankan unitmu sekarang!  Contact : 0813 3337 2016  ​​#syahfalahproperti #ptlembayung #rumahsubsidiLum	https://www.instagram.com/p/DZHzGlLBE_Q/
DZHiVNrxs9u	video	21	1	0	2026-06-03	Bukan sekedar liburan, tapi juga bonding dan recharge energy bareng team. Harapannya melalui kegiatan ini dapat meningkatkan chemistry, kekompakan, dan kekeluargaan syahfalah team✨  Btw boss next enaknya liburan kemana ya?? 🤔😌  #syahfalahproperti #ptlembayung #buperglagaharumlumajang	https://www.instagram.com/p/DZHiVNrxs9u/
DY64zf0hJ0z	video	27	10	0	2026-05-29	Kalau kena jebakan batman masih bisa dihindari, tapi kalau kena janji manis developer bahaya poll!!!  Sebelum beli rumah pastikan semuanya aman ya  teman-teman, kalau kalian beli rumah disini bukan hati-hati tapi bikin senang hati. Karena kalau kalian beli rumah disini gak perlu mikir renovasi, lang	https://www.instagram.com/p/DY64zf0hJ0z/
DY6w7CUP44i	video	4	1	0	2026-05-29	UDAH NGGAK PERLU KELUAR DUIT LAGI!💸🚫   Di Mustika Lembayung Sumbersuko semua unit udah include carport + kanopi.  Jadi nggak perlu renovasi, nggak perlu pusing mikirin tukang.  Kamu tinggal bawa mobil, langsung parkir aman, teduh, nyaman 😎   Mau tanya harga, lokasi, dan cara bookingnya?  Langsung DM	https://www.instagram.com/p/DY6w7CUP44i/
DY4LHC_iujk	video	3	5	0	2026-05-28	call an yukk!! disini ya : 0813-3337-2016  Biar aku kasih tau kalau di Lumajang ada perumahan subsidi tanpa renovasi  banyak promonya lagi!! Buruan call aku tunggu ya😉	https://www.instagram.com/p/DY4LHC_iujk/
DYrKyeQx9wu	video	13	2	0	2026-05-23	WLEKZNZDHDUEJEBDGS  Wes pokoke iki umah subsidi anti renovasi cuma 100RB.  Langsung hubungi  ☎0813 3337 2016  #Syahfalahproperti #ptlembayung #rumahsubsidiLumajang #mustikalembayungsumbersuko	https://www.instagram.com/p/DYrKyeQx9wu/
DYo2RedPlAy	video	6	3	0	2026-05-22	Nggak masalah kamerane Majapahit, sing penting omahe ora perlu renov maneh langsung nyaman, mewah.  Gak percoyo?   Langsung gass chat ☎ admin 0813 3337 2016   #Syahfalahproperti #ptlembayung #rumahsubsidiLumajang #komedi	https://www.instagram.com/p/DYo2RedPlAy/
DYoiO-eRwM6	video	17	2	0	2026-05-22	Daripada ribut-ributan mending rebut-rebutan rumah subsidi yang satu-satunya tanpa renovasi! Lengkap! Mulai pagar, kanopi sampai dapur READY SIAP HUNI✨  Daripada bayangin aja, yok chat ke Admin langsung  ☎ 0813 3337 2016  #Syahfalahproperti #ptlembayung #rumahsubsidiLumajang #mustikalembayungsumbers	https://www.instagram.com/p/DYoiO-eRwM6/
DYmFmVCxkW8	video	14	1	0	2026-05-21	Khusus pembeli bulan iki, tak siapno 20 unit umah ready stock!! Kapan maneh nduwe umah subsidi sing gak perlu renovasi lan siap huni dalam itungan dino!!   GAE AWAKMU SENG GAK SENENG INDEN ALIAS PENGEN LANGSUNG MANGGONI, IKI COCOK BANGET REK!!🔥  Gassss saiki, sakdurunge promone berakhir!🫵 Admin 0813	https://www.instagram.com/p/DYmFmVCxkW8/
DYlyCSWx8U2	video	12	1	0	2026-05-21	Dalam bangun pondasi memang tidak bisa terburu-buru, karena pondasi merupakan faktor utama kekokohan suatu bangunaan, Tapi bukan berarti masa pembangunannya dilama-lamain yaa. Btw, Proses pondasi Mustika Lembayung Sumbersuko yaa  Cari rumah jangan kompromi, pastikan beli yang tanpa renovasi✨  Hubung	https://www.instagram.com/p/DYlyCSWx8U2/
DYjtzJPPF6j	video	74	12	0	2026-05-20	BUKAN GIMICK, INI REAL RUMAH SUBSIDI TERLUAS SE JAGAT INDONESIA  Terobosan rumah subsidi tanpa renovasi✨ Dimana lagi ada rumah subsidi yang luasnya 90 M2 dan tanpa renovasi?!  Informasi lebih lanjut hubungi ☎️0813 3337 2016  #syahfalahproperti #ptlembayung #rumahsubsidilumajang #rumahimpian	https://www.instagram.com/p/DYjtzJPPF6j/
DYjNdsORhy8	video	27	4	0	2026-05-20	Mau tau 997 alasan lainnya?? 🤔  boleh DM ya!!  Beli rumah subsidi jangan kompromi lagi cari yang nggak perlu renovasi✨  Informasi unit secara lengkap hubungi nomer di bawah ini : ☎️ 0813 3337 2016  #syahfalahproperti #ptlembayung #rumahsubsidilumajang #rumahimpian	https://www.instagram.com/p/DYjNdsORhy8/
DYeOmlOO38z	video	9	0	0	2026-05-18	Rumah subsidi mana lagi di Lumajang yang carportnya muat 2 mobil?!😱 Kalo ga percaya tonton sampe habis.   Cukup bayar 100RB udah dapet rumah subsidi tanpa renovasi dan siap huni!! Langsung gas hubungi nomer ini ☎️ 0813-3337-2016  #syahfalahproperti #ptlembayung #rumahsubsidilumajang #rumahimpian	https://www.instagram.com/p/DYeOmlOO38z/
DYbQ2q2zlc6	video	6	4	0	2026-05-17	Bukan pakai tenaga jin!!  bangun rumah subsidi tanpa renovasi, meskipun mustahil semalam langsung jadi seperti candi.   Tapi kita siapkan rumah ready stock 20 unit biar langsung kalian tempatin,  gas hubungi nomer dibawah ini!! 🔥 ☎️0813-3337-2016  #syahfalahproperti #ptlembayung #rumahsubsidilumajan	https://www.instagram.com/p/DYbQ2q2zlc6/
DYY5er7zVWR	video	8	0	0	2026-05-16	Jangan sampai tergiur cuma karena promo murah rumah subsidi!😱  Sebelum beli/serah terima rumah, cek dulu 3 hal ini: ✅ Detail bangunan  ✅ Kerapian & finishing  ✅ Ada bocor nggak  Kalau nggak dicek dari awal, siap-siap keluar duit renovasi lagi.  Tapi tenang...  Di *Mustika Lembayung Sumbersuko* kamu 	https://www.instagram.com/p/DYY5er7zVWR/
DYXI1PNvLlV	video	9	0	0	2026-05-15	Diduga marketing kena mental😲  Sampe-sampe marketing e hampir stress Ndang ditulungi tukuen umah e ndek mustika lembayung Sumbersuko rek, ben ndak masuk rsj marketing e.  Langsung chat Ng kene ae wes Yo ☎️0813-3337-2016  #Syahfalahproperti #ptlembayung #komedi #rumahsubsidiLumajang	https://www.instagram.com/p/DYXI1PNvLlV/
DYWnx_guRzd	video	3	0	0	2026-05-15	"Fyi, ini tamannya nggak miring ya😫 Namanya Vertical Garden. Satu-satunya rumah subsidi di Lumajang yang ada area ""Green Spot.""  Selain spesifikasi rumahnya lengkap, fasilitas umumnya juga bukan maen!✨  Dapatkan informasi lengkapnya ke 0813 3337 2016"	https://www.instagram.com/p/DYWnx_guRzd/
DYRUjnOTZm5	video	23	4	0	2026-05-13	The reall surga dunia!!  Ada rumah subsidi tanpa renovasi, lokasinya di Sumbersuko - Lumajang.   Definisi surga karena rumah ini impian banyak orang dan nggak ribet biaya tutup dapur, ribet biaya bangun pagar. Plus bisa nikmatin area taman bermain, coffee break area yang bikin kamu semakin betah✨  H	https://www.instagram.com/p/DYRUjnOTZm5/
DYQ_vaoztE_	video	18	4	0	2026-05-13	Gak heran sih kalau bikin kaget sampe kejang, karena dimana lagi ada rumah komersil yang bisa kamu bayar subsidi.   Angsuran hanya SATU JUTAAN SAJA FLAT SAMPAI LUNAS! PLUSS ANTI RENOVASI🔥  Amankan unitmu sekarang juga, langsung hubungi ☎️0813-3337-2016  #syahfalahproperti #ptlembayung #rumahsubsidil	https://www.instagram.com/p/DYQ_vaoztE_/
DYOh4Q2x0k4	video	9	0	0	2026-05-12	Rumah 1 lantai ini memiliki luas 36m persegi, namun ruangannya tetap kita bikin luas , agar kamu bisa mengreasikan ruang impian kamu sendiri.   Sini dm aku, kalau kamu pengen punya rumah yang bisa kamu kreasikan sendiri sebebas-bebasnya✨  . .  #syahfalahproperti #ptlembayung #rumahsubsidilumajang #b	https://www.instagram.com/p/DYOh4Q2x0k4/
DYBnJmqRUGF	video	10	0	0	2026-05-07	Kalau kamu juga lagi nunggu waktu yang pas buat punya rumah,jangan kelamaan nunggu ya. Takutnya unitnya duluan yang pamit 😌  . . .  #syahfalahproperti #rumahsubsidiumajang #kprsubsidi #bhumisakaarum	https://www.instagram.com/p/DYBnJmqRUGF/
DX8lb2gxU7a	video	19	0	0	2026-05-05	Semua rumah memang milik Allah 🤲 tapi yang satu ini... bisa banget jadi milik kamu 😌  Caranya bukan doa doang ya, harus dibarengin dengan usaha (booking)☺️  Rumah subsidi 2 lantai Bhumi Saka Arum Siap huni, cicilan ramah, peluang punya rumah makin mudah ✨  “Jodoh emang di tangan Tuhan, tapi booking 	https://www.instagram.com/p/DX8lb2gxU7a/
DX0mB9fkbj1	carousel	10	0	0	2026-05-02	Punya rumah bukan soal siapa cepat, tapi siapa yang siap Kalau kamu udah sampai slide terakhir berarti ini waktunya kamu punya rumah sendiri. Langsung dm ya, aku bantu prosesnya sampai kamu terima kunci😉  . . .  #syahfalahproperti #rumahsubsidilumajang #kprsubsidi	https://www.instagram.com/p/DX0mB9fkbj1/
DXvw0DLOIrU	video	9	2	0	2026-04-30	Cuma bawa 100 ribu, langkah pertama punya rumah sendiri udah bisa dimulai.  Selamat datang di Mustika Lembayung Sumbersuko rumah subsidi siap huni tanpa renovasi, cocok buat kamu yang pengen langsung fokus pindahan tanpa mikirin biaya tambahan☺️✨  Kenapa kalian harus beli rumah disini? Karena kalian	https://www.instagram.com/p/DXvw0DLOIrU/
DXtLh-4DoXI	carousel	17	0	0	2026-04-29	Katanya ada penemuan langka di bulan?! 👀🌕 Swipe pelan-pelan ya jangan sampai diskip!  . . .  ternyata ‘kehidupan’ yang dimaksud adalah… rumah subsidi yang udah siap kamu tempatin 🏡✨ Nggak perlu ke bulan buat punya tempat tinggal, di bumi aja cukup bayar 100 ribu udah bisa terima kunci 🔑☺️  Mau jadi 	https://www.instagram.com/p/DXtLh-4DoXI/
DXoTXSQDtRk	video	8	7	0	2026-04-27	Rumah subsidi 2 lantai sekeren ini kirain 300 juta ke atas, ternyata masih 100 jutaan 😳  Udah 2 lantai, siap huni, dan cicilannya hanya 1jutaan aja  perbulan Tapi... masalahnya sekarang bukan di harga sih kamu udah siap punya rumah sendiri belum? 😉🔑”  . . .  #syahfalahgroup #rumahsubsidilumajang #kp	https://www.instagram.com/p/DXoTXSQDtRk/
DXi_rQoDrf6	video	13	5	0	2026-04-25	Daripada tabungan habis buat yang cuma lewat, mending kumpulin buat yang menetap   Rumah subsidi 2 lantai di Bhumi Saka Arum: ✔️ 2 kamar tidur ✔️ Free kanopi ✔️ Pagar couple ✔️ Kompor tanam ✔️ Tangga besi Hidup harus naik level, bukan cuma level pedes aja😋 yang mau naikin level hidup punya rumah sen	https://www.instagram.com/p/DXi_rQoDrf6/
DXgiq_hjiHm	video	123	7	0	2026-04-24	Rumah subsidi dua lantai siap huni tanpa mikir renovasi Include : -Kanopi -Pagar couple -Kompor tanam yang mau aku bonceng buat booking rumah langsung dm🙌🏻  . . .  #syahfalahgroup #kprsubsidi #rumahsubsidilumajang #bhumisakaarum	https://www.instagram.com/p/DXgiq_hjiHm/
DXbWraSEwuL	video	146	14	0	2026-04-22	"Normal day sebagai Ardian ""Tanah""🎌  Kalau ada info yang mau jual tanah bisa langsung DM  .  .  .   #ardiantanah #SyahfalahProperti #RumahSubsidiLumajang"	https://www.instagram.com/p/DXbWraSEwuL/
DXGmq2_Dg0U	video	5	0	0	2026-04-14	Kenalin, Bhumi Saka Arum 🏡 Perumahan subsidi tanpa perlu renovasi, langsung nyaman dihuni!  ✨ Benefit yang akan kamu dapatkan kalau beli rumah di Bhumi Saka Arum :   2 Lantai (bukan rumah subsidi biasa) Hanya ±7 menit dari pusat kota Free pagar + roster (udah estetik dari awal) Pagar couple (lebih r	https://www.instagram.com/p/DXGmq2_Dg0U/
DW78WCzkbuw	video	22	2	0	2026-04-10	Dengan adanya quality control ini harapan kami, para pembeli akan merasa puas dan minim komplain karena dalam proses pembangunannya mulai dari setiap sudut, setiap detail, sampai hal kecil diperhatikan melalui quality control ini.   Progress terus berjalan, dan kami pastikan: bukan asal jadi, tapi b	https://www.instagram.com/p/DW78WCzkbuw/
DW0hw1GEcmC	video	7	0	0	2026-04-07	Kangen boss versi gondrong😅  .  .  .   #Syahfalahproperti #rumahsubsidiLumajang #kprsubsidi #SyahfalahGroup	https://www.instagram.com/p/DW0hw1GEcmC/
DWLupmKEfun	video	190	10	0	2026-03-22	Bangun rumah pertama dengan budget minim… tapi tetap mau yang kualitasnya nggak murahan 🏡  banyak yang kira harus pilih: murah atau bagus padahal sekarang bisa dua-duanya.  material tetap premium, finishing tetap rapi, tanpa harus nunggu “nanti kalau udah mampu”  karena rumah pertama itu bukan soal 	https://www.instagram.com/p/DWLupmKEfun/
DWLkZePAmt2	video	3	0	0	2026-03-22	"Beli rumah bukan cuma butuh DP doang. Ada beberapa biaya penting yang sering “muncul"", antara lain : • Biaya realisasi KPR (asuransi, provisi, admin bank) • Biaya notaris & balik nama • Pajak jual beli  Beli rumah itu bukan cuma tentang mampu beli, tapi tentang mampu bayar sampai selesai.  Makanya, "	https://www.instagram.com/p/DWLkZePAmt2/
DWGO0ypAhTd	video	3	0	0	2026-03-20	Lebaran di rumah sendiri 🏡✨  Follow me : IG : @nisyanandaa TT : itsnisyananda Siap bantu kamu punya rumah impian. 🏡 More Information : 📞 0822-5706-0007 . . #nisyananda #harirayaidulfitri2026 #lebaranrumahbaru  #perumahansubsidi	https://www.instagram.com/p/DWGO0ypAhTd/
DWBVt_xkdKL	video	9	0	0	2026-03-18	Recap meeting mingguan syahfalah group🤟✨ .  .  .   #SyahfalahProperti #perumahansubsidilumajang #propertymanagement #nisyananda #ardiantanah	https://www.instagram.com/p/DWBVt_xkdKL/
DWBLgMPAjhf	video	3	0	0	2026-03-18	Resolusi 2026 ✨ Tahun ini… waktunya pamer rumah sendiri. 🏡 Karena punya rumah itu bukan cuma soal gaya, tapi soal masa depan, kenyamanan, dan investasi hidup. Pelan-pelan nggak apa, yang penting tahun ini mulai langkahnya. 2026 Bukan lagi pamer outfit, tapi pamer kunci rumah sendiri. 🔑 Kalau Resolus	https://www.instagram.com/p/DWBLgMPAjhf/
DVdSbJ1E_AK	video	5	0	0	2026-03-04	Alhamdulillah ✍️🏡 Akhirnya resmi akad KPR di BNI. Selamat untuk klien kami yang sudah resmi memulai babak baru sebagai pemilik rumah ✨ Terima kasih atas kepercayaannya.  Mau punya rumah tahun ini juga? DM ya 📩  #lembayungwanantarapadha #bnilumajang #pks #rumahsubsidi #syahfalahproperti	https://www.instagram.com/p/DVdSbJ1E_AK/
DU5pWg5j8hr	video	3	23	0	2026-02-18	Marhaban ya Ramadan 🌙 Kami segenap keluarga Syahfalah group mengucapkan selamat menunaikan ibadah puasa ramadhan 1447 Hijriyah.  Semoga ramadhan ini membawa berkah bagi kita semuanya. Amiiin… #ramadan #1447h	https://www.instagram.com/p/DU5pWg5j8hr/
DU2UujSj054	photo	3	10	0	2026-02-17	Gong Xi Fa Cai 🧧 Semoga di tahun yang baru ini, setiap langkah dipenuhi keberuntungan dan harapan baik. ✨  #Imlek #GongXiFaCai #tahunbaruimlek	https://www.instagram.com/p/DU2UujSj054/
DUsKYZJgTHu	video	12	0	0	2026-02-13	NGGAK ADA YANG MENDING.  Karena pada dasarnya SHGB dan SHM sama-sama memiliki kekuatan hukum yang sama.   ✅ Sama sah dimata hukum dan diakui negara ✅ Sama sah jika untum dijual atau dialihkan kepada pihak lain ✅ Keduanya daoat digunakan sebagai agunan KPR atau Agunan pinjaman lain ✅ Dapat diwariskan	https://www.instagram.com/p/DUsKYZJgTHu/
DUpO3ysAV6s	video	28	2	0	2026-02-12	Sudah pahamkah sejauh ini kalau kalian harus kamu paham ini sebelum ambil KPR :  1. Tanyakan kepada Developer terkait status tanah yang dibangun perumahan. Apakah tanah tersebut sudah induk atas nama perusahaan Developer tersebut atau masih perorangan. Pastikan sudah atas nama PT Developer tersebut.	https://www.instagram.com/p/DUpO3ysAV6s/
DUpI0g1EhVa	carousel	113	3	0	2026-02-12	Mohon untuk dibaca terlebih dahulu semua keterangan yang tersedia sebelum bertanya, lowongan yang baru saja kami upload insyaa Allah masih tersedia  Jika ada lowongan yang meminta pembayaran untuk biaya deposit, admin, dan biaya yang lainnya, jangan dilanjutkan dan laporkan ke admin agar di takedown	https://www.instagram.com/p/DUpI0g1EhVa/
DUazJCMElBR	video	9	0	0	2026-02-06	Daripada dia keburu kena petir kejar closing, mending langsung booking rumah subsidi satu-satunya dua lantai tanpa renovasi di Lumajang!   Langsung hubungi 0813 3337 2016  #rumahsubdidi #perumahanlumajang #RumahSubsidiLumajang #kprsubsidi #rumahidaman	https://www.instagram.com/p/DUazJCMElBR/
DT1z0ubkxuQ	video	23	0	0	2026-01-23	Ardian Tanah bersabda bahwa..   Jangan sembarangan beli rumah, pastikan cuma di @syahfalahproperti  +62 813-3337-2016 langsung hubungi @rizzafatma #kontenlucu #kontenviral #komedidirektur #perumahansubsidilumajang KontenRecehProperti	https://www.instagram.com/p/DT1z0ubkxuQ/
DT1Wm6BEkNL	video	6	2	0	2026-01-23	Kepergok ketauan ternyata ada rumah subsidi tanpa renovasi cuma 100RB.  Promo terbatas, langsung hubungi 0813 3337 2016  #RumahSubsidiLumajang #RumahSubsidi #RumahPertama  #RumahKPR	https://www.instagram.com/p/DT1Wm6BEkNL/
DTZOe06EjGL	video	29	8	0	2026-01-12	Pacar minta rumah? Cukup dengan modal 100rb saja sudah bisa dapetin rumah di Mustika Lembayung Sumbersuko by Syahfalah Properti.   Yuk hubungi kami di 0813 3337 2016 Promo terbatas!!   #SyahfalahProperti #RumahSubsidiLumajang #RumahSubsidi #RumahMewah #RumahKPR	https://www.instagram.com/p/DTZOe06EjGL/
DTMPj9bEw_d	video	15	0	0	2026-01-07	Kok podo cuek se? Padahal rumah subsidi seng tak jual bagus dan free sembarang.   Gae kalian kabeh nek butuh rumah langsung hubungi 0813 3337 2016  #SyahfalahProperti #RumahSubsidiLumajang #RumahSubsidi #RumahMewah #RumahKPR	https://www.instagram.com/p/DTMPj9bEw_d/
DS9Ogn0EnUf	photo	8	0	0	2026-01-01	Resolusi boleh banyak tapi yang paling penting punya rumah sendiri. Daripada cuma jadi wacana tiap tahun sekarang saatnya diwujudkan bersama Syahfalah Properti.  Berhenti menunda karena rumah pertama itu bukan tentang gaya, tapi keputusan untuk masa depan.  Hubungi kami di 0813 3337 2016  Segera boo	https://www.instagram.com/p/DS9Ogn0EnUf/
DS7Y1O0ktqQ	carousel	19	1	0	2025-12-31	Setelah melalui 2025 yang panjang, diujung tahun kita mengadakan PNS Award 2025 dengan sistem voting yang jujur pastinya. Ini dia para pemenang PNS Award 2025 dengan berbagai nominasi tertera.   #SyahfalahProperti #PNSAward2025 #EmployeeAward #KaryawanTerbaik	https://www.instagram.com/p/DS7Y1O0ktqQ/
DS6ZkFrEuxI	photo	42	1	0	2025-12-31	Selamat berlibur dan tahun baru Pegawai Negeri Syahfalah. Kami siap untuk menghajar gebrakan baru di 2026. See you 2026  #syahfalahproperti #pegawainegerisyahfalah #employee #tahunbaru #korporat	https://www.instagram.com/p/DS6ZkFrEuxI/
DSzImEgE9_u	video	34	6	0	2025-12-28	Watashi ke Jepang bukan untuk main, tapi tetep jualan rumah. Tapi gaono seng tuku, nek golek umah tuku nang aku yo  #SyahfalahProperti #ardiantanah #jepang #rumahsubsidilumajang #humor	https://www.instagram.com/p/DSzImEgE9_u/
DStY1G6EkAW	video	30	3	0	2025-12-26	Kalian memang tidak semua bisa melihat pemandangan langsung seperti ini di Jepang. Tapi kalian semua bisa memiliki rumah impian di Bhumi Saka Arum by Syahfalah Properti.  Yuk segera miliki rumah impianmu dengan hubungi 0813 3337 2016  #SyahfalahProperti #RumahSubsidiLumajang #RumahMewah #RumahImpian	https://www.instagram.com/p/DStY1G6EkAW/
DSq4AqMEsz4	photo	5	0	0	2025-12-25	"Selamat Hari Natal saudaraku Hadiah terbaik itu bukan selalu yang dibungkus, kadang justru rumah yang bisa jadi tempat pulang seumur hidup. Kalau dari dulu cuma niat “nanti aja beli rumah"" Natal ini bisa jadi waktu terbaik buat mulai ambil keputusan. Karena spesial Hari Natal kamu bisa dapat rumah d"	https://www.instagram.com/p/DSq4AqMEsz4/
DSmPA9oEQ4K	video	30	1	0	2025-12-23	Niat mau ngembaliin duit malah disuruh beli rumah hahaha Tapi memang Beli rumah di Mustika Lembayung Sumbersuko by Syahfalah Properti cukup 100rb saja bisa kalian dapetin loh gaes.   Yuk Segera miliki rumah di Mustika Lembayung Sumbersuko.  Hubungi kami di 0813 3337 2016 Unit terbatas!!   #RumahSubs	https://www.instagram.com/p/DSmPA9oEQ4K/
DSllmv7EjE2	photo	31	0	0	2025-12-23	*WE ARE HIRING – STAFF DIGITAL SERVICE*  Kami membuka kesempatan bagi kandidat profesional untuk bergabung sebagai Staff Digital Service dengan tanggung jawab utama pada pengelolaan digital marketing, iklan berbayar, serta dukungan proses penjualan.  Ruang lingkup pekerjaan: – Mengelola dan menjalan	https://www.instagram.com/p/DSllmv7EjE2/
DSjav1bk9-p	video	31	4	0	2025-12-22	Sebelum sampai Jepang watashi mampir hongkong dulu. Deloken sampek dodolan Perumahan Bhumi Saka Arum ndek Hongkong.   Makanya yuk segera miliki rumah di Bhumi Saka Arum.  Hubungi kami di 0813 3337 2016 Unit terbatas!!!   #SyahfalahProperti #BhumiSakaArum #BeliRumah #LumajangProperty #PerumahanLumaja	https://www.instagram.com/p/DSjav1bk9-p/
